location,date,variant,num_sequences,perc_sequences,num_sequences_total
Switzerland,2020-05-11,B.1.177,0,0.0,106
Switzerland,2020-05-11,Beta,0,0.0,106
Switzerland,2020-05-11,Alpha,0,0.0,106
Switzerland,2020-05-11,Gamma,0,0.0,106
Switzerland,2020-05-11,Delta,0,0.0,106
Switzerland,2020-05-11,Kappa,0,0.0,106
Switzerland,2020-05-11,Epsilon,0,0.0,106
Switzerland,2020-05-11,Eta,0,0.0,106
Switzerland,2020-05-11,Iota,0,0.0,106
Switzerland,2020-05-11,Lambda,0,0.0,106
Switzerland,2020-05-11,B.1.621,0,0.0,106
Switzerland,2020-05-11,S:677P.Pelican,0,0.0,106
Switzerland,2020-05-11,S:677H.Robin1,,,106
Switzerland,2020-05-11,others,106,100.0,106
Switzerland,2020-05-11,non_who,106,100.0,106
Switzerland,2020-07-06,B.1.160,0,0.0,89
Switzerland,2020-07-06,B.1.620,0,0.0,89
Switzerland,2020-07-06,B.1.258,0,0.0,89
Switzerland,2020-07-06,B.1.221,0,0.0,89
Switzerland,2020-07-06,B.1.1.302,,,89
Switzerland,2020-07-06,B.1.1.277,0,0.0,89
Switzerland,2020-07-06,B.1.1.519,0,0.0,89
Switzerland,2020-07-06,B.1.367,0,0.0,89
Switzerland,2020-07-06,B.1.177,0,0.0,89
Switzerland,2020-07-06,Beta,0,0.0,89
Switzerland,2020-07-06,Alpha,0,0.0,89
Switzerland,2020-07-06,Gamma,0,0.0,89
Switzerland,2020-07-06,Delta,0,0.0,89
Switzerland,2020-07-06,Kappa,0,0.0,89
Switzerland,2020-07-06,Epsilon,0,0.0,89
Switzerland,2020-07-06,Eta,0,0.0,89
Switzerland,2020-07-06,Iota,0,0.0,89
Switzerland,2020-07-06,Lambda,0,0.0,89
Switzerland,2020-07-06,B.1.621,0,0.0,89
Switzerland,2020-07-06,S:677P.Pelican,0,0.0,89
Switzerland,2020-07-06,S:677H.Robin1,,,89
Switzerland,2020-07-06,others,89,100.0,89
Switzerland,2020-07-06,non_who,89,100.0,89
Switzerland,2020-07-20,B.1.160,0,0.0,169
Switzerland,2020-07-20,B.1.620,0,0.0,169
Switzerland,2020-07-20,B.1.258,0,0.0,169
Switzerland,2020-07-20,B.1.221,0,0.0,169
Switzerland,2020-07-20,B.1.1.302,,,169
Switzerland,2020-07-20,B.1.1.277,0,0.0,169
Switzerland,2020-07-20,B.1.1.519,0,0.0,169
Switzerland,2020-07-20,B.1.367,1,0.59,169
Switzerland,2020-07-20,B.1.177,0,0.0,169
Switzerland,2020-07-20,Beta,0,0.0,169
Switzerland,2020-07-20,Alpha,0,0.0,169
Switzerland,2020-07-20,Gamma,0,0.0,169
Switzerland,2020-07-20,Delta,0,0.0,169
Switzerland,2020-07-20,Kappa,0,0.0,169
Switzerland,2020-07-20,Epsilon,0,0.0,169
Switzerland,2020-07-20,Eta,0,0.0,169
Switzerland,2020-07-20,Iota,0,0.0,169
Switzerland,2020-07-20,Lambda,0,0.0,169
Switzerland,2020-07-20,B.1.621,0,0.0,169
Switzerland,2020-07-20,S:677P.Pelican,0,0.0,169
Switzerland,2020-07-20,S:677H.Robin1,,,169
Switzerland,2020-07-20,others,168,99.41,169
Switzerland,2020-07-20,non_who,169,100.0,169
Switzerland,2020-08-03,B.1.160,0,0.0,145
Switzerland,2020-08-03,B.1.620,0,0.0,145
Switzerland,2020-08-03,B.1.258,3,2.07,145
Switzerland,2020-08-03,B.1.221,0,0.0,145
Switzerland,2020-08-03,B.1.1.302,,,145
Switzerland,2020-08-03,B.1.1.277,1,0.69,145
Switzerland,2020-08-03,B.1.1.519,0,0.0,145
Switzerland,2020-08-03,B.1.367,5,3.45,145
Switzerland,2020-08-03,B.1.177,6,4.14,145
Switzerland,2020-08-03,Beta,0,0.0,145
Switzerland,2020-08-03,Alpha,0,0.0,145
Switzerland,2020-08-03,Gamma,0,0.0,145
Switzerland,2020-08-03,Delta,0,0.0,145
Switzerland,2020-08-03,Kappa,0,0.0,145
Switzerland,2020-08-03,Epsilon,0,0.0,145
Switzerland,2020-08-03,Eta,0,0.0,145
Switzerland,2020-08-03,Iota,0,0.0,145
Switzerland,2020-08-03,Lambda,0,0.0,145
Switzerland,2020-08-03,B.1.621,0,0.0,145
Switzerland,2020-08-03,S:677P.Pelican,0,0.0,145
Switzerland,2020-08-03,S:677H.Robin1,,,145
Switzerland,2020-08-03,others,130,89.65,145
Switzerland,2020-08-03,non_who,145,100.0,145
Switzerland,2020-08-17,B.1.160,1,0.57,174
Switzerland,2020-08-17,B.1.620,0,0.0,174
Switzerland,2020-08-17,B.1.258,9,5.17,174
Switzerland,2020-08-17,B.1.221,1,0.57,174
Switzerland,2020-08-17,B.1.1.302,,,174
Switzerland,2020-08-17,B.1.1.277,1,0.57,174
Switzerland,2020-08-17,B.1.1.519,0,0.0,174
Switzerland,2020-08-17,B.1.367,14,8.05,174
Switzerland,2020-08-17,B.1.177,23,13.22,174
Switzerland,2020-08-17,Beta,0,0.0,174
Switzerland,2020-08-17,Alpha,0,0.0,174
Switzerland,2020-08-17,Gamma,0,0.0,174
Switzerland,2020-08-17,Delta,0,0.0,174
Switzerland,2020-08-17,Kappa,0,0.0,174
Switzerland,2020-08-17,Epsilon,0,0.0,174
Switzerland,2020-08-17,Eta,0,0.0,174
Switzerland,2020-08-17,Iota,0,0.0,174
Switzerland,2020-08-17,Lambda,0,0.0,174
Switzerland,2020-08-17,B.1.621,0,0.0,174
Switzerland,2020-08-17,S:677P.Pelican,0,0.0,174
Switzerland,2020-08-17,S:677H.Robin1,,,174
Switzerland,2020-08-17,others,125,71.85,174
Switzerland,2020-08-17,non_who,174,100.0,174
Switzerland,2020-08-31,B.1.160,38,12.42,306
Switzerland,2020-08-31,B.1.620,0,0.0,306
Switzerland,2020-08-31,B.1.258,10,3.27,306
Switzerland,2020-08-31,B.1.221,6,1.96,306
Switzerland,2020-08-31,B.1.1.302,,,306
Switzerland,2020-08-31,B.1.1.277,4,1.31,306
Switzerland,2020-08-31,B.1.1.519,0,0.0,306
Switzerland,2020-08-31,B.1.367,21,6.86,306
